"Notes"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Sex"	"Sex Code"	"Age"	"Age Code"	Population
	"1990"	"1990"	"Female"	"F"	"< 1 year"	"0"	453
	"1990"	"1990"	"Female"	"F"	"1 year"	"1"	410
	"1990"	"1990"	"Female"	"F"	"2 years"	"2"	420
	"1990"	"1990"	"Female"	"F"	"3 years"	"3"	415
	"1990"	"1990"	"Female"	"F"	"4 years"	"4"	424
	"1990"	"1990"	"Female"	"F"	"5 years"	"5"	424
	"1990"	"1990"	"Female"	"F"	"6 years"	"6"	402
	"1990"	"1990"	"Female"	"F"	"7 years"	"7"	385
	"1990"	"1990"	"Female"	"F"	"8 years"	"8"	399
	"1990"	"1990"	"Female"	"F"	"9 years"	"9"	381
	"1990"	"1990"	"Female"	"F"	"10 years"	"10"	437
	"1990"	"1990"	"Female"	"F"	"11 years"	"11"	407
	"1990"	"1990"	"Female"	"F"	"12 years"	"12"	402
	"1990"	"1990"	"Female"	"F"	"13 years"	"13"	420
	"1990"	"1990"	"Female"	"F"	"14 years"	"14"	388
	"1990"	"1990"	"Female"	"F"	"15 years"	"15"	394
	"1990"	"1990"	"Female"	"F"	"16 years"	"16"	407
	"1990"	"1990"	"Female"	"F"	"17 years"	"17"	412
	"1990"	"1990"	"Female"	"F"	"18 years"	"18"	381
	"1990"	"1990"	"Female"	"F"	"19 years"	"19"	388
	"1990"	"1990"	"Female"	"F"	"20 years"	"20"	377
	"1990"	"1990"	"Female"	"F"	"21 years"	"21"	360
	"1990"	"1990"	"Female"	"F"	"22 years"	"22"	364
	"1990"	"1990"	"Female"	"F"	"23 years"	"23"	370
	"1990"	"1990"	"Female"	"F"	"24 years"	"24"	394
	"1990"	"1990"	"Female"	"F"	"25 years"	"25"	412
	"1990"	"1990"	"Female"	"F"	"26 years"	"26"	435
	"1990"	"1990"	"Female"	"F"	"27 years"	"27"	420
	"1990"	"1990"	"Female"	"F"	"28 years"	"28"	401
	"1990"	"1990"	"Female"	"F"	"29 years"	"29"	486
	"1990"	"1990"	"Female"	"F"	"30 years"	"30"	480
	"1990"	"1990"	"Female"	"F"	"31 years"	"31"	477
	"1990"	"1990"	"Female"	"F"	"32 years"	"32"	474
	"1990"	"1990"	"Female"	"F"	"33 years"	"33"	491
	"1990"	"1990"	"Female"	"F"	"34 years"	"34"	446
	"1990"	"1990"	"Female"	"F"	"35 years"	"35"	438
	"1990"	"1990"	"Female"	"F"	"36 years"	"36"	446
	"1990"	"1990"	"Female"	"F"	"37 years"	"37"	451
	"1990"	"1990"	"Female"	"F"	"38 years"	"38"	404
	"1990"	"1990"	"Female"	"F"	"39 years"	"39"	398
	"1990"	"1990"	"Female"	"F"	"40 years"	"40"	406
	"1990"	"1990"	"Female"	"F"	"41 years"	"41"	403
	"1990"	"1990"	"Female"	"F"	"42 years"	"42"	381
	"1990"	"1990"	"Female"	"F"	"43 years"	"43"	437
	"1990"	"1990"	"Female"	"F"	"44 years"	"44"	311
	"1990"	"1990"	"Female"	"F"	"45 years"	"45"	318
	"1990"	"1990"	"Female"	"F"	"46 years"	"46"	346
	"1990"	"1990"	"Female"	"F"	"47 years"	"47"	387
	"1990"	"1990"	"Female"	"F"	"48 years"	"48"	288
	"1990"	"1990"	"Female"	"F"	"49 years"	"49"	277
	"1990"	"1990"	"Female"	"F"	"50 years"	"50"	291
	"1990"	"1990"	"Female"	"F"	"51 years"	"51"	291
	"1990"	"1990"	"Female"	"F"	"52 years"	"52"	257
	"1990"	"1990"	"Female"	"F"	"53 years"	"53"	255
	"1990"	"1990"	"Female"	"F"	"54 years"	"54"	268
	"1990"	"1990"	"Female"	"F"	"55 years"	"55"	272
	"1990"	"1990"	"Female"	"F"	"56 years"	"56"	290
	"1990"	"1990"	"Female"	"F"	"57 years"	"57"	282
	"1990"	"1990"	"Female"	"F"	"58 years"	"58"	262
	"1990"	"1990"	"Female"	"F"	"59 years"	"59"	262
	"1990"	"1990"	"Female"	"F"	"60 years"	"60"	262
	"1990"	"1990"	"Female"	"F"	"61 years"	"61"	261
	"1990"	"1990"	"Female"	"F"	"62 years"	"62"	284
	"1990"	"1990"	"Female"	"F"	"63 years"	"63"	267
	"1990"	"1990"	"Female"	"F"	"64 years"	"64"	286
	"1990"	"1990"	"Female"	"F"	"65 years"	"65"	279
	"1990"	"1990"	"Female"	"F"	"66 years"	"66"	278
	"1990"	"1990"	"Female"	"F"	"67 years"	"67"	281
	"1990"	"1990"	"Female"	"F"	"68 years"	"68"	264
	"1990"	"1990"	"Female"	"F"	"69 years"	"69"	256
	"1990"	"1990"	"Female"	"F"	"70 years"	"70"	254
	"1990"	"1990"	"Female"	"F"	"71 years"	"71"	252
	"1990"	"1990"	"Female"	"F"	"72 years"	"72"	231
	"1990"	"1990"	"Female"	"F"	"73 years"	"73"	211
	"1990"	"1990"	"Female"	"F"	"74 years"	"74"	218
	"1990"	"1990"	"Female"	"F"	"75 years"	"75"	182
	"1990"	"1990"	"Female"	"F"	"76 years"	"76"	184
	"1990"	"1990"	"Female"	"F"	"77 years"	"77"	177
	"1990"	"1990"	"Female"	"F"	"78 years"	"78"	172
	"1990"	"1990"	"Female"	"F"	"79 years"	"79"	148
	"1990"	"1990"	"Female"	"F"	"80 years"	"80"	144
	"1990"	"1990"	"Female"	"F"	"81 years"	"81"	124
	"1990"	"1990"	"Female"	"F"	"82 years"	"82"	122
	"1990"	"1990"	"Female"	"F"	"83 years"	"83"	116
	"1990"	"1990"	"Female"	"F"	"84 years"	"84"	118
	"1990"	"1990"	"Female"	"F"	"85+ years"	"85+"	618
"Total"	"1990"	"1990"	"Female"	"F"			28946
	"1990"	"1990"	"Male"	"M"	"< 1 year"	"0"	477
	"1990"	"1990"	"Male"	"M"	"1 year"	"1"	467
	"1990"	"1990"	"Male"	"M"	"2 years"	"2"	459
	"1990"	"1990"	"Male"	"M"	"3 years"	"3"	438
	"1990"	"1990"	"Male"	"M"	"4 years"	"4"	406
	"1990"	"1990"	"Male"	"M"	"5 years"	"5"	459
	"1990"	"1990"	"Male"	"M"	"6 years"	"6"	445
	"1990"	"1990"	"Male"	"M"	"7 years"	"7"	430
	"1990"	"1990"	"Male"	"M"	"8 years"	"8"	425
	"1990"	"1990"	"Male"	"M"	"9 years"	"9"	433
	"1990"	"1990"	"Male"	"M"	"10 years"	"10"	427
	"1990"	"1990"	"Male"	"M"	"11 years"	"11"	432
	"1990"	"1990"	"Male"	"M"	"12 years"	"12"	420
	"1990"	"1990"	"Male"	"M"	"13 years"	"13"	448
	"1990"	"1990"	"Male"	"M"	"14 years"	"14"	425
	"1990"	"1990"	"Male"	"M"	"15 years"	"15"	448
	"1990"	"1990"	"Male"	"M"	"16 years"	"16"	441
	"1990"	"1990"	"Male"	"M"	"17 years"	"17"	459
	"1990"	"1990"	"Male"	"M"	"18 years"	"18"	399
	"1990"	"1990"	"Male"	"M"	"19 years"	"19"	463
	"1990"	"1990"	"Male"	"M"	"20 years"	"20"	465
	"1990"	"1990"	"Male"	"M"	"21 years"	"21"	455
	"1990"	"1990"	"Male"	"M"	"22 years"	"22"	514
	"1990"	"1990"	"Male"	"M"	"23 years"	"23"	559
	"1990"	"1990"	"Male"	"M"	"24 years"	"24"	556
	"1990"	"1990"	"Male"	"M"	"25 years"	"25"	575
	"1990"	"1990"	"Male"	"M"	"26 years"	"26"	580
	"1990"	"1990"	"Male"	"M"	"27 years"	"27"	608
	"1990"	"1990"	"Male"	"M"	"28 years"	"28"	584
	"1990"	"1990"	"Male"	"M"	"29 years"	"29"	594
	"1990"	"1990"	"Male"	"M"	"30 years"	"30"	624
	"1990"	"1990"	"Male"	"M"	"31 years"	"31"	558
	"1990"	"1990"	"Male"	"M"	"32 years"	"32"	566
	"1990"	"1990"	"Male"	"M"	"33 years"	"33"	551
	"1990"	"1990"	"Male"	"M"	"34 years"	"34"	526
	"1990"	"1990"	"Male"	"M"	"35 years"	"35"	559
	"1990"	"1990"	"Male"	"M"	"36 years"	"36"	543
	"1990"	"1990"	"Male"	"M"	"37 years"	"37"	499
	"1990"	"1990"	"Male"	"M"	"38 years"	"38"	489
	"1990"	"1990"	"Male"	"M"	"39 years"	"39"	492
	"1990"	"1990"	"Male"	"M"	"40 years"	"40"	474
	"1990"	"1990"	"Male"	"M"	"41 years"	"41"	428
	"1990"	"1990"	"Male"	"M"	"42 years"	"42"	425
	"1990"	"1990"	"Male"	"M"	"43 years"	"43"	445
	"1990"	"1990"	"Male"	"M"	"44 years"	"44"	314
	"1990"	"1990"	"Male"	"M"	"45 years"	"45"	362
	"1990"	"1990"	"Male"	"M"	"46 years"	"46"	373
