GEO ID,GEO ID Description,GEO Category,County Name,Indicator Order on State Dashboard,Indicator Order on County Dashboard,Indicator ID,Indicator,Event Count,Average Number of Denominator,Percentage/Rate,Data Comments,Measure Unit,Data Years,Data Source
210,Adams town,MCD/CD,Jefferson,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),45,45,25.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
287,Addison town,MCD/CD,Steuben,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),28,26,26.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
353,Afton town,MCD/CD,Chenango,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),39,34,28.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
474,Alabama town,MCD/CD,Genesee,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),10,14,18.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
1000,Albany city,MCD/CD,Albany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),1264,972,32.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
1044,Albion town,MCD/CD,Orleans,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),91,86,26.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
1055,Albion town,MCD/CD,Oswego,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),28,18,38.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
1099,Alden town,MCD/CD,Erie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),93,109,21.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
1165,Alexander town,MCD/CD,Genesee,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),13,22,14.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
1176,Alexandria town,MCD/CD,Jefferson,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),40,36,28,,Percentage,2019-2022,"Vital Records, data as of November 2024"
1209,Alfred town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),15,14,26.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
1297,Allegany town,MCD/CD,Cattaraugus,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),60,88,17,,Percentage,2019-2022,"Vital Records, data as of November 2024"
1308,Allegany Reservation,MCD/CD,Cattaraugus,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),19,14,35.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
1319,Allen town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),3,4,21.4,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
1429,Alma town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),3,8,9.7,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
1451,Almond town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),18,15,31,,Percentage,2019-2022,"Vital Records, data as of November 2024"
1583,Altona town,MCD/CD,Clinton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),30,23,33,,Percentage,2019-2022,"Vital Records, data as of November 2024"
1649,Amboy town,MCD/CD,Oswego,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),21,13,39.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
1693,Amenia town,MCD/CD,Dutchess,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),57,49,28.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
2000,Amherst town,MCD/CD,Erie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),690,1365,12.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
2011,Amity town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),30,25,29.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
2066,Amsterdam city,MCD/CD,Montgomery,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),220,208,26.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
2077,Amsterdam town,MCD/CD,Montgomery,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),75,136,13.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
2099,Ancram town,MCD/CD,Columbia,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),10,14,18.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
2132,Andes town,MCD/CD,Delaware,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),7,19,9.5,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
2154,Andover town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),18,20,23.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
2187,Angelica town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),9,15,15,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
2253,Annsville town,MCD/CD,Oneida,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),33,28,30,,Percentage,2019-2022,"Vital Records, data as of November 2024"
2297,Antwerp town,MCD/CD,Jefferson,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),15,15,25,,Percentage,2019-2022,"Vital Records, data as of November 2024"
2418,Arcade town,MCD/CD,Wyoming,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),42,53,19.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
2440,Arcadia town,MCD/CD,Wayne,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),197,200,24.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
2561,Argyle town,MCD/CD,Washington,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),37,61,15.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
