Area,Year,Month,Labor Force,Employed,Unemployed,Unemployment Rate                                                                                                                                                                      
Albany County,2025,2,161300,155200,6100,3.8
Albany County,2025,1,159700,154000,5700,3.6
Albany County,2024,12,158600,153800,4800,3.1
Albany County,2024,11,160600,155700,4900,3.0
Albany County,2024,10,161000,156100,4900,3.0
Albany County,2024,9,161900,157100,4800,3.0
Albany County,2024,8,162200,156300,6000,3.7
Albany County,2024,7,164700,158500,6200,3.7
Albany County,2024,6,163700,158100,5600,3.4
Albany County,2024,5,161400,156200,5200,3.2
Albany County,2024,4,161300,156300,5000,3.1
Albany County,2024,3,161000,155300,5700,3.5
Albany County,2024,2,160800,154700,6100,3.8
Albany County,2024,1,160700,154900,5800,3.6
Albany County,2023,12,159500,154100,5400,3.4
Albany County,2023,11,163000,157900,5100,3.1
Albany County,2023,10,162800,157500,5300,3.3
Albany County,2023,9,162900,157700,5100,3.2
Albany County,2023,8,163800,158000,5800,3.5
Albany County,2023,7,165000,159500,5400,3.3
Albany County,2023,6,164700,159700,5100,3.1
Albany County,2023,5,162400,157800,4600,2.8
Albany County,2023,4,161800,157700,4100,2.5
Albany County,2023,3,160400,155600,4800,3.0
Albany County,2023,2,159800,154400,5400,3.4
Albany County,2023,1,159000,153600,5300,3.4
Albany County,2022,12,157600,153200,4300,2.7
Albany County,2022,11,158900,154500,4400,2.8
Albany County,2022,10,159900,155600,4200,2.7
Albany County,2022,9,160400,155800,4500,2.8
Albany County,2022,8,161500,156000,5500,3.4
Albany County,2022,7,162100,156600,5500,3.4
Albany County,2022,6,161700,156600,5100,3.2
Albany County,2022,5,160000,155500,4600,2.8
Albany County,2022,4,159300,154900,4400,2.8
Albany County,2022,3,158800,153700,5200,3.3
Albany County,2022,2,158300,152500,5800,3.6
Albany County,2022,1,157600,152100,5500,3.5
Albany County,2021,12,156900,152600,4200,2.7
Albany County,2021,11,158800,154000,4800,3.0
Albany County,2021,10,159200,153900,5300,3.3
Albany County,2021,9,159300,153500,5800,3.6
Albany County,2021,8,159700,152700,7100,4.4
Albany County,2021,7,160900,153400,7500,4.7
Albany County,2021,6,159700,152000,7700,4.8
Albany County,2021,5,158700,151800,7000,4.4
